idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR350910,Caiuá,3509106,551.158,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,5560,IBGE (2015), ,,0
BR351100,Castilho,3511003,1065.318,BR35,SP,BR35016,Andradina,BR3503,Araçatuba,0,19873,IBGE (2015), ,,0
BR351440,Dracena,3514403,487.688,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,45847,IBGE (2015), ,,0
BR351530,Estrela do Norte,3515301,264.987,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,2761,IBGE (2015), ,,0
BR351535,Euclides da Cunha Paulista,3515350,573.894,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,9642,IBGE (2015), ,,0
BR352870,Marabá Paulista,3528700,919.519,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,5435,IBGE (2015), ,,0
BR353020,Mirante do Paranapanema,3530201,1238.931,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,17979,IBGE (2015), ,,0
BR353160,Monte Castelo,3531605,233.547,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,4188,IBGE (2015), ,,0
BR353220,Narandiba,3532207,357.326,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,4657,IBGE (2015), ,,0
BR353310,Nova Guataporanga,3533106,34.158,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,2288,IBGE (2015), ,,0
BR353480,Ouro Verde,3534807,266.77,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,8330,IBGE (2015), ,,0
BR353540,Panorama,3535408,356.057,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,15458,IBGE (2015), ,,0
BR353640,Paulicéia,3536406,374.091,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,6981,IBGE (2015), ,,0
BR353830,Piquerobi,3538303,482.77,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,3679,IBGE (2015), ,,0
BR354120,Presidente Bernardes,3541208,749.234,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,13568,IBGE (2015), ,,0
BR354130,Presidente Epitácio,3541307,1260.281,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,43535,IBGE (2015), ,,0
BR354150,Presidente Venceslau,3541505,755.203,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,39407,IBGE (2015), ,,0
BR354323,Ribeirão dos Índios,3543238,196.446,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,2245,IBGE (2015), ,,0
BR354425,Rosana,3544251,744.011,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,18459,IBGE (2015), ,,0
BR354550,Sandovalina,3545506,455.856,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,4076,IBGE (2015), ,,0
BR354710,Santa Mercedes,3547106,166.753,BR35,SP,BR35034,Dracena,BR3508,Presidente Prudente,0,2937,IBGE (2015), ,,0
BR354770,Santo Anastácio,3547700,552.876,BR35,SP,BR35036,Presidente Prudente,BR3508,Presidente Prudente,0,21044,IBGE (2015), ,,0
