,muni_name,cod_ibge_muni,uf_muni,Number of paths covered,City coverage(%),MoH sentinel
0,Alta Floresta D'Oeste,1100015,Rondônia,97,0.0011,0
1,Ariquemes,1100023,Rondônia,12608,0.1436,1
2,Cacoal,1100049,Rondônia,7774,0.08854,0
3,Cerejeiras,1100056,Rondônia,3441,0.03919,0
4,Colorado do Oeste,1100064,Rondônia,1787,0.02035,0
5,Costa Marques,1100080,Rondônia,189,0.00215,0
6,Espigão D'Oeste,1100098,Rondônia,1,1e-05,0
7,Guajará-Mirim,1100106,Rondônia,620,0.00706,0
8,Jaru,1100114,Rondônia,4469,0.0509,0
9,Ji-Paraná,1100122,Rondônia,10905,0.1242,0
10,Machadinho D'Oeste,1100130,Rondônia,1374,0.01565,0
11,Nova Brasilândia D'Oeste,1100148,Rondônia,415,0.00473,0
12,Ouro Preto do Oeste,1100155,Rondônia,11244,0.12806,0
13,Pimenta Bueno,1100189,Rondônia,6120,0.0697,0
14,Porto Velho,1100205,Rondônia,6430,0.07323,1
15,Presidente Médici,1100254,Rondônia,2414,0.02749,0
16,Rolim de Moura,1100288,Rondônia,6395,0.07284,0
17,Santa Luzia D'Oeste,1100296,Rondônia,682,0.00777,0
18,Vilhena,1100304,Rondônia,8031,0.09147,1
19,São Miguel do Guaporé,1100320,Rondônia,1335,0.0152,0
20,Nova Mamoré,1100338,Rondônia,522,0.00595,0
21,Alvorada D'Oeste,1100346,Rondônia,392,0.00446,0
22,Alto Alegre dos Parecis,1100379,Rondônia,3,3e-05,0
23,Alto Paraíso,1100403,Rondônia,1123,0.01279,0
24,Buritis,1100452,Rondônia,1276,0.01453,0
25,Novo Horizonte do Oeste,1100502,Rondônia,401,0.00457,0
26,Campo Novo de Rondônia,1100700,Rondônia,12,0.00014,0
27,Candeias do Jamari,1100809,Rondônia,14,0.00016,0
28,Itapuã do Oeste,1101104,Rondônia,4,5e-05,0
29,Mirante da Serra,1101302,Rondônia,485,0.00552,0
30,Monte Negro,1101401,Rondônia,1560,0.01777,0
31,Nova União,1101435,Rondônia,432,0.00492,0
32,São Francisco do Guaporé,1101492,Rondônia,355,0.00404,0
33,Seringueiras,1101500,Rondônia,307,0.0035,0
34,Teixeirópolis,1101559,Rondônia,425,0.00484,0
35,Theobroma,1101609,Rondônia,685,0.0078,0
36,Urupá,1101708,Rondônia,393,0.00448,0
37,Vale do Anari,1101757,Rondônia,784,0.00893,0
38,Acrelândia,1200013,Acre,219,0.00249,0
39,Assis Brasil,1200054,Acre,381,0.00434,0
40,Brasiléia,1200104,Acre,1516,0.01727,1
41,Bujari,1200138,Acre,1511,0.01721,0
42,Capixaba,1200179,Acre,1470,0.01674,0
43,Cruzeiro do Sul,1200203,Acre,9661,0.11003,1
44,Feijó,1200302,Acre,1165,0.01327,0
45,Plácido de Castro,1200385,Acre,447,0.00509,0
46,Rio Branco,1200401,Acre,11861,0.13509,1
47,Senador Guiomard,1200450,Acre,1986,0.02262,0
48,Sena Madureira,1200500,Acre,1015,0.01156,0
49,Tarauacá,1200609,Acre,732,0.00834,0
50,Xapuri,1200708,Acre,560,0.00638,0
51,Alvarães,1300029,Amazonas,51,0.00058,0
52,Amaturá,1300060,Amazonas,917,0.01044,0
53,Anamã,1300086,Amazonas,711,0.0081,0
54,Anori,1300102,Amazonas,438,0.00499,0
55,Apuí,1300144,Amazonas,797,0.00908,0
56,Barcelos,1300409,Amazonas,1077,0.01227,0
57,Barreirinha,1300508,Amazonas,490,0.00558,0
58,Benjamin Constant,1300607,Amazonas,893,0.01017,0
59,Beruri,1300631,Amazonas,1070,0.01219,0
60,Boa Vista do Ramos,1300680,Amazonas,168,0.00191,0
61,Borba,1300805,Amazonas,1244,0.01417,1
62,Caapiranga,1300839,Amazonas,3,3e-05,0
63,Careiro,1301100,Amazonas,2,2e-05,1
64,Coari,1301209,Amazonas,1755,0.01999,1
65,Codajás,1301308,Amazonas,702,0.008,0
66,Fonte Boa,1301605,Amazonas,1218,0.01387,0
67,Humaitá,1301704,Amazonas,2349,0.02675,0
68,Itacoatiara,1301902,Amazonas,3744,0.04264,1
69,Itapiranga,1302009,Amazonas,2473,0.02817,0
70,Japurá,1302108,Amazonas,24,0.00027,0
71,Jutaí,1302306,Amazonas,1682,0.01916,0
72,Lábrea,1302405,Amazonas,1,1e-05,1
73,Manacapuru,1302504,Amazonas,3945,0.04493,1
74,Manaquiri,1302553,Amazonas,1204,0.01371,0
75,Manaus,1302603,Amazonas,40910,0.46594,1
76,Manicoré,1302702,Amazonas,318,0.00362,1
77,Maraã,1302801,Amazonas,140,0.00159,0
78,Maués,1302900,Amazonas,3,3e-05,1
79,Nova Olinda do Norte,1303106,Amazonas,668,0.00761,0
80,Novo Airão,1303205,Amazonas,8,9e-05,0
81,Novo Aripuanã,1303304,Amazonas,385,0.00438,0
82,Parintins,1303403,Amazonas,1965,0.02238,1
83,Presidente Figueiredo,1303536,Amazonas,213,0.00243,1
84,Rio Preto da Eva,1303569,Amazonas,1131,0.01288,1
85,Santa Isabel do Rio Negro,1303601,Amazonas,712,0.00811,0
86,Santo Antônio do Içá,1303700,Amazonas,798,0.00909,0
